transaction_id,issue
T0064,vendor_variation
T0016,vendor_variation
T0059,vendor_variation
T0005,vendor_variation
T0008,vendor_variation
T0041,vendor_variation
T0096,vendor_variation
T0070,vendor_variation
T0081,vendor_variation
T0087,vendor_variation
T0017,amount_mismatch
T0013,amount_mismatch
T0019,amount_mismatch
T0027,amount_mismatch
T0097,amount_mismatch
T0072,amount_mismatch
T0092,amount_mismatch
T0056,amount_mismatch
T0091,date_mismatch
T0011,date_mismatch
T0046,date_mismatch
T0062,date_mismatch
T0073,date_mismatch
T0020,date_mismatch
T0080,date_mismatch
T0083,date_mismatch
T0054,duplicate
T0045,duplicate
T0093,duplicate
T0002,duplicate
T0065,missing_invoice
T0094,missing_invoice
T0022,missing_invoice
T0095,missing_invoice
T0023,missing_invoice
T0052,partial_payment
T0004,partial_payment
T0077,partial_payment
T0089,partial_payment
T0098,partial_payment
T0099,ambiguous_vendor
T0035,ambiguous_vendor
T0037,ambiguous_vendor
T0079,ambiguous_vendor
T0053,ambiguous_vendor
