bank_id,bank_vendor,bank_amount,bank_date,matched_invoice,invoice_amount,amount_difference,date_difference_days,confidence,margin,status,predicted_transaction_id,correct
BANK-T0001,Tata Consultancy Services,12021.78,2026-07-24,INV-T0001,12021.78,0.0,0,100.0,41.5,AUTO_MATCH,T0001,True
BANK-T0002,Adobe Systems,25244.29,2026-07-05,INV-T0002,25244.29,0.0,0,100.0,41.5,AUTO_MATCH,T0002,True
BANK-T0003,Wipro,11147.02,2026-07-24,INV-T0003,11147.02,0.0,0,100.0,43.75,AUTO_MATCH,T0003,True
BANK-T0004,Axis Bank,54991.29,2026-07-19,INV-T0004,54991.29,0.0,0,100.0,19.75,AUTO_MATCH,T0004,True
BANK-T0005,Oracle,4146.49,2026-07-03,INV-T0005,4146.49,0.0,0,100.0,41.5,AUTO_MATCH,T0005,True
BANK-T0006,Meta Platforms,24033.43,2026-07-20,INV-T0006,24033.43,0.0,0,100.0,25.0,AUTO_MATCH,T0006,True
BANK-T0007,Amazon Web Services,56563.26,2026-07-23,INV-T0007,56563.26,0.0,0,100.0,31.0,AUTO_MATCH,T0007,True
BANK-T0008,Tata Consultancy Services,70431.17,2026-07-14,INV-T0008,70431.17,0.0,0,100.0,15.0,AUTO_MATCH,T0008,True
BANK-T0009,Meta Platforms,45471.7,2026-07-09,INV-T0076,23245.04,22226.66,2,58.5,2.25,UNRESOLVED,T0076,False
BANK-T0010,HDFC,87060.73,2026-07-25,INV-T0010,87060.73,0.0,0,82.69,36.51,HUMAN_REVIEW,T0010,True
BANK-T0011,HDFC Bank,17608.2,2026-07-14,INV-T0011,16806.27,801.9300000000003,0,84.0,15.0,HUMAN_REVIEW,T0011,True
BANK-T0012,IBM,28509.26,2026-07-07,INV-T0012,28509.26,0.0,0,100.0,41.5,AUTO_MATCH,T0012,True
BANK-T0013,HDFC Bank,20724.5,2026-07-03,INV-T0013,34322.86,13598.36,0,60.0,0.0,UNRESOLVED,T0013,True
BANK-T0014,Oracle,10574.92,2026-07-28,INV-T0014,10574.92,0.0,0,100.0,41.5,AUTO_MATCH,T0014,True
BANK-T0015,IBM,60768.88,2026-07-26,INV-T0015,60768.88,0.0,0,100.0,19.75,AUTO_MATCH,T0015,True
BANK-T0016,Amazon AWS,73243.45,2026-07-18,INV-T0016,73243.45,0.0,0,91.0,37.0,AUTO_MATCH,T0016,True
BANK-T0017,Google,97338.46,2026-07-13,INV-T0017,97338.46,0.0,0,100.0,5.75,AUTO_MATCH,T0017,True
BANK-T0018,Google,55652.02,2026-07-27,INV-T0018,55652.02,0.0,0,100.0,40.0,AUTO_MATCH,T0018,True
BANK-T0019,Tata,62233.46,2026-07-28,INV-T0019,62233.46,0.0,0,73.0,18.58,HUMAN_REVIEW,T0019,True
BANK-T0020,IBM,58157.86,2026-07-23,INV-T0020,58157.86,0.0,0,100.0,19.75,AUTO_MATCH,T0020,True
BANK-T0021,Google,5536.61,2026-07-08,INV-T0021,5536.61,0.0,0,100.0,41.5,AUTO_MATCH,T0021,True
BANK-T0022,HDFC Bank,29649.41,2026-07-08,INV-T0022,29649.41,0.0,5,96.25,40.0,AUTO_MATCH,T0022,True
BANK-T0023,ICICI Bank,24046.3,2026-07-04,INV-T0023,24046.3,0.0,0,100.0,40.0,AUTO_MATCH,T0023,True
BANK-T0024,Oracle,28519.39,2026-07-21,INV-T0024,28519.39,0.0,0,100.0,43.75,AUTO_MATCH,T0024,True
BANK-T0025,ICICI Bank,37118.39,2026-07-12,INV-T0025,37118.39,0.0,0,100.0,49.0,AUTO_MATCH,T0025,True
BANK-T0026,IBM,21741.2,2026-07-09,INV-T0026,21741.2,0.0,0,100.0,41.5,AUTO_MATCH,T0026,True
BANK-T0027,Wipro,93728.8,2026-07-21,INV-T0027,93728.8,0.0,0,100.0,42.5,AUTO_MATCH,T0027,True
BANK-T0028,Google,61303.97,2026-07-06,INV-T0028,61303.97,0.0,0,100.0,41.5,AUTO_MATCH,T0028,True
BANK-T0029,Accenture,73183.55,2026-07-06,INV-T0029,73183.55,0.0,0,100.0,31.0,AUTO_MATCH,T0029,True
BANK-T0030,Deloitte,38566.09,2026-07-30,INV-T0030,38566.09,0.0,0,100.0,49.14,AUTO_MATCH,T0030,True
BANK-T0031,Tata Consultancy Services,69128.03,2026-07-10,INV-T0031,69128.03,0.0,2,98.5,8.25,AUTO_MATCH,T0031,True
BANK-T0032,Tata Consultancy Services,33103.99,2026-07-25,INV-T0032,33103.99,0.0,0,100.0,31.0,AUTO_MATCH,T0032,True
BANK-T0033,HDFC Bank,6537.86,2026-08-01,INV-T0033,6537.86,0.0,5,96.25,37.75,AUTO_MATCH,T0033,True
BANK-T0034,Amazon Web Services,80699.53,2026-07-13,INV-T0034,80699.53,0.0,0,100.0,41.5,AUTO_MATCH,T0034,True
BANK-T0035,Adobe,7552.67,2026-07-30,INV-T0035,7552.67,0.0,0,100.0,41.5,AUTO_MATCH,T0035,True
BANK-T0036,Infosys,87760.4,2026-07-11,INV-T0036,87760.4,0.0,0,100.0,33.5,AUTO_MATCH,T0036,True
BANK-T0037,Meta,65888.43,2026-07-13,INV-T0037,65888.43,0.0,0,75.0,12.89,HUMAN_REVIEW,T0037,True
BANK-T0038,Axis Bank,91540.21,2026-07-17,INV-T0038,91540.21,0.0,2,98.5,34.83,AUTO_MATCH,T0038,True
BANK-T0039,Microsoft,27223.14,2026-07-08,INV-T0039,27223.14,0.0,0,100.0,43.75,AUTO_MATCH,T0039,True
BANK-T0040,Wipro,56575.45,2026-07-09,INV-T0040,56575.45,0.0,0,100.0,31.0,AUTO_MATCH,T0040,True
BANK-T0041,Wipro,58874.01,2026-07-29,INV-T0041,58874.01,0.0,0,100.0,31.0,AUTO_MATCH,T0041,True
BANK-T0042,Infosys Ltd,40540.65,2026-07-08,INV-T0042,40540.65,0.0,0,100.0,43.12,AUTO_MATCH,T0042,True
BANK-T0043,Microsoft Corp,51443.1,2026-07-03,INV-T0043,51443.1,0.0,0,100.0,43.75,AUTO_MATCH,T0043,True
BANK-T0044,HDFC Bank,5664.52,2026-07-04,INV-T0044,5664.52,0.0,0,100.0,41.5,AUTO_MATCH,T0044,True
BANK-T0045,Microsoft,47914.08,2026-07-26,INV-T0045,63117.16,15203.080000000002,0,60.0,6.5,UNRESOLVED,T0045,True
BANK-T0046,Tata Consultancy Services,43899.0,2026-07-03,INV-T0046,42793.84,1105.1600000000035,0,84.0,1.0,HUMAN_REVIEW,T0046,True
BANK-T0047,Oracle,38780.31,2026-07-15,INV-T0047,38780.31,0.0,0,100.0,49.0,AUTO_MATCH,T0047,True
BANK-T0048,Accenture,25890.0,2026-07-18,INV-T0055,76434.26,50544.26,1,58.5,2.25,UNRESOLVED,T0055,False
BANK-T0049,ICICI Bank,98693.36,2026-07-22,INV-T0049,94300.66,4392.699999999997,0,84.0,6.329999999999998,HUMAN_REVIEW,T0049,True
BANK-T0050,Wipro,12340.62,2026-08-02,INV-T0050,12340.62,0.0,4,96.25,40.0,AUTO_MATCH,T0050,True
BANK-T0051,Accenture Pvt Ltd,75336.9,2026-07-25,INV-T0051,75336.9,0.0,0,100.0,3.5,HUMAN_REVIEW,T0051,True
BANK-T0052,Tata Consultancy Services,34677.37,2026-07-10,INV-T0052,34677.37,0.0,0,100.0,31.0,AUTO_MATCH,T0052,True
BANK-T0053,Oracle,8124.39,2026-07-01,INV-T0053,16657.62,8533.23,0,60.0,1.5,UNRESOLVED,T0053,True
BANK-T0054,Wipro,87709.44,2026-07-09,INV-T0054,87709.44,0.0,0,100.0,33.5,AUTO_MATCH,T0054,True
BANK-T0055,Accenture,76434.26,2026-07-17,INV-T0055,76434.26,0.0,0,100.0,11.0,AUTO_MATCH,T0055,True
BANK-T0056,Axis Bank,12054.36,2026-07-21,INV-T0056,11534.67,519.6900000000005,0,84.0,20.35,HUMAN_REVIEW,T0056,True
BANK-T0057,Adobe,86229.93,2026-07-17,INV-T0057,84325.27,1904.659999999989,0,84.0,27.14,HUMAN_REVIEW,T0057,True
BANK-T0058,Infosys,20692.2,2026-07-12,INV-T0058,20692.2,0.0,0,100.0,41.5,AUTO_MATCH,T0058,True
BANK-T0059,HDFC Bank,16993.35,2026-07-31,INV-T0059,16993.35,0.0,0,100.0,21.0,AUTO_MATCH,T0059,True
BANK-T0060,HDFC Bank,92320.97,2026-07-30,INV-T0038,91540.21,780.7599999999948,15,63.0,4.5,UNRESOLVED,T0038,False
BANK-T0061,Amazon Web Services,60295.51,2026-07-16,INV-T0061,60295.51,0.0,0,100.0,15.0,AUTO_MATCH,T0061,True
BANK-T0062,Amazon Web Services,12074.9,2026-07-12,INV-T0062,12074.9,0.0,0,100.0,41.5,AUTO_MATCH,T0062,True
BANK-T0063,Axis Bank,98546.82,2026-07-26,INV-T0063,98546.82,0.0,0,100.0,36.33,AUTO_MATCH,T0063,True
BANK-T0064,Adobe,24705.78,2026-07-08,INV-T0002,25244.29,538.510000000002,3,80.25,21.75,HUMAN_REVIEW,T0002,False
BANK-T0065,Axis Bank,57168.34,2026-07-03,INV-T0065,57168.34,0.0,0,100.0,17.0,AUTO_MATCH,T0065,True
BANK-T0066,Google India,73458.85,2026-07-27,INV-T0066,73458.85,0.0,0,100.0,40.0,AUTO_MATCH,T0066,True
BANK-T0067,Google,97820.46,2026-07-18,INV-T0067,97820.46,0.0,0,100.0,5.75,AUTO_MATCH,T0067,True
BANK-T0068,HDFC Bank,13450.29,2026-07-22,INV-T0068,13450.29,0.0,0,100.0,43.75,AUTO_MATCH,T0068,True
BANK-T0069,Deloitte,94738.02,2026-07-06,INV-T0069,94738.02,0.0,0,100.0,40.0,AUTO_MATCH,T0069,True
BANK-T0070,Adobe,53239.7,2026-07-20,INV-T0070,53239.7,0.0,0,100.0,43.75,AUTO_MATCH,T0070,True
BANK-T0071,Oracle Corp,96471.93,2026-07-30,INV-T0071,96471.93,0.0,0,100.0,39.5,AUTO_MATCH,T0071,True
BANK-T0072,Accenture,75771.25,2026-07-23,INV-T0072,75771.25,0.0,0,100.0,3.5,HUMAN_REVIEW,T0072,True
BANK-T0073,Meta Platforms,74174.47,2026-07-13,INV-T0073,71581.95,2592.520000000004,0,84.0,24.0,HUMAN_REVIEW,T0073,True
BANK-T0074,Tata Consultancy Services,66542.72,2026-07-15,INV-T0074,65337.93,1204.7900000000009,0,94.0,19.0,AUTO_MATCH,T0074,True
BANK-T0075,Axis Bank,52240.01,2026-07-04,INV-T0065,57168.34,4928.3299999999945,1,58.5,1.0,UNRESOLVED,T0065,False
BANK-T0076,Meta Platforms,23245.04,2026-07-11,INV-T0076,23245.04,0.0,0,100.0,25.0,AUTO_MATCH,T0076,True
BANK-T0077,Amazon Web Services,59242.56,2026-07-11,INV-T0077,59242.56,0.0,3,96.25,6.0,AUTO_MATCH,T0077,True
BANK-T0078,Infosys,22801.52,2026-07-03,INV-T0078,22801.52,0.0,0,100.0,43.75,AUTO_MATCH,T0078,True
BANK-T0079,Wipro Ltd,63479.19,2026-07-08,INV-T0079,63479.19,0.0,0,100.0,41.5,AUTO_MATCH,T0079,True
BANK-T0080,Google,90636.58,2026-07-28,INV-T0080,90636.58,0.0,0,100.0,41.5,AUTO_MATCH,T0080,True
BANK-T0081,IBM,8014.88,2026-07-13,INV-T0081,8014.88,0.0,5,96.25,40.0,AUTO_MATCH,T0081,True
BANK-T0082,Adobe,67228.8,2026-07-07,INV-T0082,67228.8,0.0,0,100.0,41.5,AUTO_MATCH,T0082,True
BANK-T0083,Accenture,14098.87,2026-07-30,INV-T0083,14098.87,0.0,0,100.0,43.75,AUTO_MATCH,T0083,True
