transaction_id,vendor,amount,date,currency
T0001,HDFC Bank,46698.81,2026-07-17,INR
T0002,Infosys,47384.38,2026-07-21,INR
T0003,HDFC Bank,70059.98,2026-07-07,INR
T0004,HDFC Bank,11692.88,2026-07-26,INR
T0005,Infosys,74062.89,2026-07-03,INR
T0006,Amazon Web Services,21051.53,2026-07-08,INR
T0007,Oracle,80555.89,2026-07-02,INR
T0008,Axis Bank,75842.93,2026-07-11,INR
T0009,Deloitte,62736.83,2026-07-12,INR
T0010,Microsoft,49273.99,2026-07-28,INR
T0011,Axis Bank,19905.58,2026-07-18,INR
T0012,Axis Bank,17060.67,2026-07-12,INR
T0013,IBM,44984.68,2026-07-17,INR
T0014,Google,61010.68,2026-07-05,INR
T0015,HDFC Bank,84632.61,2026-07-15,INR
T0016,Deloitte,72416.3,2026-07-29,INR
T0017,HDFC Bank,60381.12,2026-07-16,INR
T0018,Tata Consultancy Services,94774.79,2026-07-18,INR
T0019,Oracle,18449.48,2026-07-19,INR
T0020,Accenture,87503.22,2026-07-25,INR
T0021,Adobe,53123.63,2026-07-24,INR
T0022,Adobe,65015.98,2026-07-27,INR
T0023,Infosys,60672.82,2026-07-27,INR
T0024,Deloitte,84457.48,2026-07-26,INR
T0025,IBM,27364.86,2026-07-25,INR
T0026,IBM,36392.34,2026-07-02,INR
T0027,Google,90252.61,2026-07-23,INR
T0028,Accenture,26633.63,2026-07-15,INR
T0029,Microsoft,54073.75,2026-07-11,INR
T0030,Axis Bank,84638.23,2026-07-14,INR
T0031,Amazon Web Services,58260.58,2026-07-09,INR
T0032,Amazon Web Services,4635.37,2026-07-01,INR
T0033,Amazon Web Services,18268.71,2026-07-13,INR
T0034,Infosys,8221.46,2026-07-16,INR
T0035,Meta Platforms,24864.48,2026-07-09,INR
T0036,Infosys,39368.1,2026-07-10,INR
T0037,Deloitte,46647.19,2026-07-19,INR
T0038,Deloitte,55720.11,2026-07-01,INR
T0039,Axis Bank,15382.25,2026-07-03,INR
T0040,Infosys,51048.88,2026-07-16,INR
T0041,Google,34493.13,2026-07-14,INR
T0042,Wipro,15590.27,2026-07-12,INR
T0043,Amazon Web Services,58058.38,2026-07-27,INR
T0044,Oracle,48247.53,2026-07-23,INR
T0045,Wipro,6096.0,2026-07-24,INR
T0046,Amazon Web Services,51732.72,2026-07-18,INR
T0047,Amazon Web Services,78903.85,2026-07-24,INR
T0048,IBM,35916.26,2026-07-13,INR
T0049,Amazon Web Services,95257.21,2026-07-23,INR
T0050,Infosys,94391.62,2026-07-16,INR
T0051,Oracle,76105.54,2026-07-20,INR
T0052,Deloitte,56436.47,2026-07-20,INR
T0053,Microsoft,67461.27,2026-07-12,INR
T0054,Amazon Web Services,28016.03,2026-07-27,INR
T0055,Google,72407.92,2026-07-12,INR
T0056,HDFC Bank,49060.99,2026-07-31,INR
T0057,Wipro,76826.95,2026-07-31,INR
T0058,IBM,91497.44,2026-07-07,INR
T0059,Tata Consultancy Services,52566.97,2026-07-28,INR
T0060,Oracle,93603.18,2026-07-02,INR
T0061,Adobe,35522.49,2026-07-01,INR
T0062,Tata Consultancy Services,25260.24,2026-07-06,INR
T0063,Google,98353.44,2026-07-16,INR
T0064,HDFC Bank,56013.59,2026-07-22,INR
T0065,Accenture,41513.99,2026-07-20,INR
T0066,Amazon Web Services,60611.59,2026-07-12,INR
T0067,Axis Bank,14978.41,2026-07-11,INR
T0068,Deloitte,10111.47,2026-07-09,INR
T0069,ICICI Bank,57769.35,2026-07-18,INR
T0070,Amazon Web Services,60390.16,2026-07-14,INR
T0071,IBM,49055.62,2026-07-12,INR
T0072,IBM,35432.0,2026-07-12,INR
T0073,Google,55240.87,2026-07-31,INR
T0074,Tata Consultancy Services,40110.9,2026-07-19,INR
T0075,Infosys,59368.28,2026-07-01,INR
T0076,Accenture,70547.9,2026-07-04,INR
T0077,Axis Bank,50055.68,2026-07-22,INR
T0078,HDFC Bank,15470.2,2026-07-14,INR
T0079,Microsoft,23489.35,2026-07-08,INR
T0080,Accenture,77847.98,2026-07-30,INR
T0081,Amazon Web Services,19929.39,2026-07-01,INR
T0082,Meta Platforms,31320.16,2026-07-19,INR
T0083,Oracle,74479.14,2026-07-27,INR
T0084,Axis Bank,66756.17,2026-07-03,INR
T0085,Adobe,73797.87,2026-07-12,INR
T0086,ICICI Bank,19739.91,2026-07-14,INR
T0087,Google,5163.72,2026-07-02,INR
T0088,Tata Consultancy Services,34204.67,2026-07-02,INR
T0089,HDFC Bank,90541.47,2026-07-22,INR
T0090,Infosys,73538.71,2026-07-29,INR
T0091,HDFC Bank,9154.48,2026-07-16,INR
T0092,Accenture,53571.67,2026-07-30,INR
T0093,IBM,61283.53,2026-07-11,INR
T0094,Accenture,89219.27,2026-07-11,INR
T0095,Microsoft,51598.78,2026-07-25,INR
T0096,Accenture,73404.13,2026-07-11,INR
T0097,Tata Consultancy Services,2554.44,2026-07-12,INR
T0098,Accenture,63935.16,2026-07-16,INR
T0099,Meta Platforms,76924.51,2026-07-01,INR
T0100,Microsoft,62364.48,2026-07-08,INR
