invoice_id,vendor,amount,date,currency,transaction_id
INV-T0001,HDFC Bank,46698.81,2026-07-17,INR,T0001
INV-T0002,Infosys,47384.38,2026-07-21,INR,T0002
INV-T0003,HDFC Bank,70059.98,2026-07-07,INR,T0003
INV-T0004,HDFC Bank,11692.88,2026-07-26,INR,T0004
INV-T0005,Infosys,74062.89,2026-07-03,INR,T0005
INV-T0006,Amazon Web Services,21051.53,2026-07-08,INR,T0006
INV-T0007,Oracle,80555.89,2026-07-02,INR,T0007
INV-T0008,Axis Bank,75842.93,2026-07-11,INR,T0008
INV-T0009,Deloitte,62736.83,2026-07-12,INR,T0009
INV-T0010,Microsoft,49273.99,2026-07-28,INR,T0010
INV-T0011,Axis Bank,19905.58,2026-07-18,INR,T0011
INV-T0012,Axis Bank,17060.67,2026-07-12,INR,T0012
INV-T0013,IBM,44984.68,2026-07-17,INR,T0013
INV-T0014,Google,61010.68,2026-07-05,INR,T0014
INV-T0015,HDFC Bank,84632.61,2026-07-15,INR,T0015
INV-T0016,Deloitte,72416.3,2026-07-29,INR,T0016
INV-T0017,HDFC Bank,60381.12,2026-07-16,INR,T0017
INV-T0018,Tata Consultancy Services,94774.79,2026-07-18,INR,T0018
INV-T0019,Oracle,18449.48,2026-07-19,INR,T0019
INV-T0020,Accenture,87503.22,2026-07-25,INR,T0020
INV-T0021,Adobe,53123.63,2026-07-24,INR,T0021
INV-T0022,Adobe,65015.98,2026-07-27,INR,T0022
INV-T0023,Infosys,60672.82,2026-07-27,INR,T0023
INV-T0024,Deloitte,84457.48,2026-07-26,INR,T0024
INV-T0025,IBM,27364.86,2026-07-25,INR,T0025
INV-T0026,IBM,36392.34,2026-07-02,INR,T0026
INV-T0027,Google,90252.61,2026-07-23,INR,T0027
INV-T0028,Accenture,26633.63,2026-07-15,INR,T0028
INV-T0029,Microsoft,54073.75,2026-07-11,INR,T0029
INV-T0030,Axis Bank,84638.23,2026-07-14,INR,T0030
INV-T0031,Amazon Web Services,58260.58,2026-07-09,INR,T0031
INV-T0032,Amazon Web Services,4635.37,2026-07-01,INR,T0032
INV-T0033,Amazon Web Services,18268.71,2026-07-13,INR,T0033
INV-T0034,Infosys,8221.46,2026-07-16,INR,T0034
INV-T0035,Meta Platforms,24864.48,2026-07-09,INR,T0035
INV-T0036,Infosys,39368.1,2026-07-10,INR,T0036
INV-T0037,Deloitte,46647.19,2026-07-19,INR,T0037
INV-T0038,Deloitte,55720.11,2026-07-01,INR,T0038
INV-T0039,Axis Bank,15382.25,2026-07-03,INR,T0039
INV-T0040,Infosys,51048.88,2026-07-16,INR,T0040
INV-T0041,Google,34493.13,2026-07-14,INR,T0041
INV-T0042,Wipro,15590.27,2026-07-12,INR,T0042
