ledger_id,vendor,amount,date,currency,transaction_id
LED-T0001,Tata Consultancy Services,12021.78,2026-07-24,INR,T0001
LED-T0002,Adobe,25244.29,2026-07-05,INR,T0002
LED-T0003,Wipro,11147.02,2026-07-24,INR,T0003
LED-T0004,Axis Bank,54991.29,2026-07-19,INR,T0004
LED-T0005,Oracle,4146.49,2026-07-03,INR,T0005
LED-T0006,Meta Platforms,24033.43,2026-07-20,INR,T0006
LED-T0007,Amazon Web Services,56563.26,2026-07-23,INR,T0007
LED-T0008,Tata Consultancy Services,70431.17,2026-07-14,INR,T0008
LED-T0009,Meta Platforms,45471.7,2026-07-09,INR,T0009
LED-T0010,HDFC Bank,87060.73,2026-07-25,INR,T0010
LED-T0011,HDFC Bank,16806.27,2026-07-14,INR,T0011
LED-T0012,IBM,28509.26,2026-07-07,INR,T0012
LED-T0013,HDFC Bank,34322.86,2026-07-03,INR,T0013
LED-T0014,Oracle,10574.92,2026-07-28,INR,T0014
LED-T0015,IBM,60768.88,2026-07-26,INR,T0015
LED-T0016,Amazon Web Services,73243.45,2026-07-18,INR,T0016
LED-T0017,Google,97338.46,2026-07-13,INR,T0017
LED-T0018,Google,55652.02,2026-07-27,INR,T0018
LED-T0019,Tata Consultancy Services,62233.46,2026-07-28,INR,T0019
LED-T0020,IBM,58157.86,2026-07-23,INR,T0020
LED-T0021,Google,5536.61,2026-07-08,INR,T0021
LED-T0022,HDFC Bank,29649.41,2026-07-03,INR,T0022
LED-T0023,ICICI Bank,24046.3,2026-07-04,INR,T0023
LED-T0024,Oracle,28519.39,2026-07-21,INR,T0024
LED-T0025,ICICI Bank,37118.39,2026-07-12,INR,T0025
LED-T0026,IBM,21741.2,2026-07-09,INR,T0026
LED-T0027,Wipro,93728.8,2026-07-21,INR,T0027
LED-T0028,Google,61303.97,2026-07-06,INR,T0028
LED-T0029,Accenture,73183.55,2026-07-06,INR,T0029
LED-T0030,Deloitte,38566.09,2026-07-30,INR,T0030
LED-T0031,Tata Consultancy Services,69128.03,2026-07-08,INR,T0031
LED-T0032,Tata Consultancy Services,33103.99,2026-07-25,INR,T0032
LED-T0033,HDFC Bank,6537.86,2026-07-27,INR,T0033
LED-T0034,Amazon Web Services,80699.53,2026-07-13,INR,T0034
LED-T0035,Adobe,7552.67,2026-07-30,INR,T0035
LED-T0036,Infosys,87760.4,2026-07-11,INR,T0036
LED-T0037,Meta Platforms,65888.43,2026-07-13,INR,T0037
LED-T0038,Axis Bank,91540.21,2026-07-15,INR,T0038
LED-T0039,Microsoft,27223.14,2026-07-08,INR,T0039
LED-T0040,Wipro,56575.45,2026-07-09,INR,T0040
LED-T0041,Wipro,58874.01,2026-07-29,INR,T0041
LED-T0042,Infosys,40540.65,2026-07-08,INR,T0042
LED-T0043,Microsoft,51443.1,2026-07-03,INR,T0043
LED-T0044,HDFC Bank,5664.52,2026-07-04,INR,T0044
LED-T0045,Microsoft,63117.16,2026-07-26,INR,T0045
LED-T0046,Tata Consultancy Services,42793.84,2026-07-03,INR,T0046
LED-T0047,Oracle,38780.31,2026-07-15,INR,T0047
LED-T0048,Accenture,25890.0,2026-07-18,INR,T0048
LED-T0049,ICICI Bank,94300.66,2026-07-22,INR,T0049
LED-T0050,Wipro,12340.62,2026-07-29,INR,T0050
LED-T0051,Accenture,75336.9,2026-07-25,INR,T0051
LED-T0052,Tata Consultancy Services,34677.37,2026-07-10,INR,T0052
LED-T0053,Oracle,16657.62,2026-07-01,INR,T0053
LED-T0054,Wipro,87709.44,2026-07-09,INR,T0054
LED-T0055,Accenture,76434.26,2026-07-17,INR,T0055
LED-T0056,Axis Bank,11534.67,2026-07-21,INR,T0056
LED-T0057,Adobe,84325.27,2026-07-17,INR,T0057
LED-T0058,Infosys,20692.2,2026-07-12,INR,T0058
LED-T0059,HDFC Bank,16993.35,2026-07-31,INR,T0059
LED-T0060,HDFC Bank,92320.97,2026-07-30,INR,T0060
LED-T0061,Amazon Web Services,60295.51,2026-07-16,INR,T0061
LED-T0062,Amazon Web Services,12074.9,2026-07-12,INR,T0062
LED-T0063,Axis Bank,98546.82,2026-07-26,INR,T0063
LED-T0064,Adobe,24705.78,2026-07-08,INR,T0064
LED-T0065,Axis Bank,57168.34,2026-07-03,INR,T0065
LED-T0066,Google,73458.85,2026-07-27,INR,T0066
LED-T0067,Google,97820.46,2026-07-18,INR,T0067
LED-T0068,HDFC Bank,13450.29,2026-07-22,INR,T0068
LED-T0069,Deloitte,94738.02,2026-07-06,INR,T0069
LED-T0070,Adobe,53239.7,2026-07-20,INR,T0070
LED-T0071,Oracle,96471.93,2026-07-30,INR,T0071
LED-T0072,Accenture,75771.25,2026-07-23,INR,T0072
LED-T0073,Meta Platforms,71581.95,2026-07-13,INR,T0073
LED-T0074,Tata Consultancy Services,65337.93,2026-07-15,INR,T0074
LED-T0075,Axis Bank,52240.01,2026-07-04,INR,T0075
LED-T0076,Meta Platforms,23245.04,2026-07-11,INR,T0076
LED-T0077,Amazon Web Services,59242.56,2026-07-08,INR,T0077
LED-T0078,Infosys,22801.52,2026-07-03,INR,T0078
LED-T0079,Wipro,63479.19,2026-07-08,INR,T0079
LED-T0080,Google,90636.58,2026-07-28,INR,T0080
LED-T0081,IBM,8014.88,2026-07-08,INR,T0081
LED-T0082,Adobe,67228.8,2026-07-07,INR,T0082
LED-T0083,Accenture,14098.87,2026-07-30,INR,T0083
LED-T0084,Axis Bank,57533.27,2026-07-16,INR,T0084
LED-T0085,Meta Platforms,78677.32,2026-07-26,INR,T0085
LED-T0086,Oracle,19850.58,2026-07-04,INR,T0086
LED-T0087,Tata Consultancy Services,43674.07,2026-07-14,INR,T0087
LED-T0088,Oracle,47235.44,2026-07-24,INR,T0088
LED-T0089,Amazon Web Services,67663.09,2026-07-21,INR,T0089
LED-T0090,Google,7000.65,2026-07-24,INR,T0090
LED-T0091,IBM,80258.66,2026-07-04,INR,T0091
LED-T0092,Meta Platforms,19967.42,2026-07-18,INR,T0092
LED-T0093,Deloitte,14878.05,2026-07-06,INR,T0093
LED-T0094,Adobe,46800.18,2026-07-28,INR,T0094
LED-T0095,Axis Bank,8463.1,2026-07-26,INR,T0095
LED-T0096,ICICI Bank,85740.72,2026-07-04,INR,T0096
LED-T0097,Amazon Web Services,65562.34,2026-07-18,INR,T0097
LED-T0098,ICICI Bank,2461.03,2026-07-03,INR,T0098
LED-T0099,Axis Bank,75602.98,2026-07-08,INR,T0099
LED-T0100,Microsoft,41234.99,2026-07-16,INR,T0100
