bank_id,bank_vendor,bank_amount,bank_date,matched_invoice,invoice_amount,amount_difference,date_difference_days,confidence,margin,status
BANK-T0001,HDFC Bank,46698.81,2026-07-17,INV-T0001,46698.81,0.0,0,100.0,31.0,AUTO_MATCH
BANK-T0002,Infosys,47384.38,2026-07-21,INV-T0002,47384.38,0.0,0,100.0,43.75,AUTO_MATCH
BANK-T0003,HDFC Bank,70059.98,2026-07-07,INV-T0003,70059.98,0.0,0,100.0,39.75,AUTO_MATCH
BANK-T0004,HDFC Bank,4731.54,2026-07-26,INV-T0004,11692.88,6961.339999999999,0,60.0,3.75,UNRESOLVED
BANK-T0005,Infosys Ltd,74062.89,2026-07-03,INV-T0005,74062.89,0.0,0,100.0,17.0,AUTO_MATCH
BANK-T0006,Amazon Web Services,21051.53,2026-07-08,INV-T0006,21051.53,0.0,0,100.0,41.5,AUTO_MATCH
BANK-T0007,Oracle,80555.89,2026-07-02,INV-T0007,80555.89,0.0,0,100.0,40.0,AUTO_MATCH
BANK-T0008,Axis,75842.93,2026-07-11,INV-T0008,75842.93,0.0,0,82.69,29.689999999999998,HUMAN_REVIEW
BANK-T0009,Deloitte,62736.83,2026-07-12,INV-T0009,62736.83,0.0,0,100.0,38.87,AUTO_MATCH
BANK-T0010,Microsoft,49273.99,2026-07-28,INV-T0010,49273.99,0.0,0,100.0,45.75,AUTO_MATCH
BANK-T0011,Axis Bank,19905.58,2026-07-23,INV-T0011,19905.58,0.0,5,96.25,23.83,AUTO_MATCH
BANK-T0012,Axis Bank,17060.67,2026-07-12,INV-T0012,17060.67,0.0,0,100.0,41.5,AUTO_MATCH
BANK-T0013,IBM,47064.02,2026-07-17,INV-T0013,44984.68,2079.3399999999965,0,84.0,3.75,HUMAN_REVIEW
BANK-T0014,Google,61010.68,2026-07-05,INV-T0014,61010.68,0.0,0,100.0,43.75,AUTO_MATCH
BANK-T0015,HDFC Bank,84632.61,2026-07-15,INV-T0015,84632.61,0.0,0,100.0,23.5,AUTO_MATCH
BANK-T0016,Deloitte India,72416.3,2026-07-29,INV-T0016,72416.3,0.0,0,100.0,43.75,AUTO_MATCH
BANK-T0017,HDFC Bank,62458.21,2026-07-16,INV-T0017,60381.12,2077.0899999999965,0,84.0,24.0,HUMAN_REVIEW
BANK-T0018,Tata Consultancy Services,94774.79,2026-07-18,INV-T0018,94774.79,0.0,0,100.0,36.76,AUTO_MATCH
BANK-T0019,Oracle,18984.27,2026-07-19,INV-T0019,18449.48,534.7900000000009,0,84.0,25.5,HUMAN_REVIEW
BANK-T0020,Accenture,87503.22,2026-07-28,INV-T0020,87503.22,0.0,3,96.25,37.75,AUTO_MATCH
BANK-T0021,Adobe,53123.63,2026-07-24,INV-T0021,53123.63,0.0,0,100.0,43.14,AUTO_MATCH
BANK-T0022,Adobe,65015.98,2026-07-27,INV-T0021,53123.63,11892.350000000006,3,56.25,9.39,UNRESOLVED
BANK-T0023,Infosys,60672.82,2026-07-27,INV-T0075,59368.28,1304.5400000000009,26,69.0,10.5,HUMAN_REVIEW
BANK-T0024,Deloitte,84457.48,2026-07-26,INV-T0024,84457.48,0.0,0,100.0,43.75,AUTO_MATCH
BANK-T0025,IBM,27364.86,2026-07-25,INV-T0025,27364.86,0.0,0,100.0,49.0,AUTO_MATCH
BANK-T0026,IBM,36392.34,2026-07-02,INV-T0026,36392.34,0.0,0,100.0,21.0,AUTO_MATCH
BANK-T0027,Google,91787.09,2026-07-23,INV-T0027,90252.61,1534.479999999996,0,94.0,37.5,AUTO_MATCH
BANK-T0028,Accenture,26633.63,2026-07-15,INV-T0028,26633.63,0.0,0,100.0,41.5,AUTO_MATCH
BANK-T0029,Microsoft,54073.75,2026-07-11,INV-T0029,54073.75,0.0,0,100.0,41.5,AUTO_MATCH
BANK-T0030,Axis Bank,84638.23,2026-07-14,INV-T0030,84638.23,0.0,0,100.0,23.5,AUTO_MATCH
BANK-T0031,Amazon Web Services,58260.58,2026-07-09,INV-T0031,58260.58,0.0,0,100.0,17.0,AUTO_MATCH
BANK-T0032,Amazon Web Services,4635.37,2026-07-01,INV-T0032,4635.37,0.0,0,100.0,40.0,AUTO_MATCH
BANK-T0033,Amazon Web Services,18268.71,2026-07-13,INV-T0033,18268.71,0.0,0,100.0,41.5,AUTO_MATCH
BANK-T0034,Infosys,8221.46,2026-07-16,INV-T0034,8221.46,0.0,0,100.0,40.0,AUTO_MATCH
BANK-T0035,Meta,24864.48,2026-07-09,INV-T0035,24864.48,0.0,0,75.0,20.75,HUMAN_REVIEW
