bank_id,bank_vendor,bank_amount,bank_date,matched_invoice,confidence,margin,exception_type,severity,reason,recommended_action,ai_recommendation,ai_used
BANK-T0009,Meta Platforms,45471.7,2026-07-09,INV-T0076,58.5,2.25,AMOUNT_MISMATCH,HIGH,Payment differs from invoice by 21438.27.,"Verify invoice amount, payment amount and possible fees or adjustments.",,False
BANK-T0010,HDFC,87060.73,2026-07-25,INV-T0010,82.69,36.51,VENDOR_MISMATCH,LOW,"Exact match on transaction amount (87060.73) and date (2026-07-25). The lower match score is driven solely by a minor vendor name variation ('HDFC' vs 'HDFC Bank'), and there is a high confidence margin (36.51) over the second-best candidate.",Approve the match and map 'HDFC' as a valid vendor alias for 'HDFC Bank' in the system to enable automatic reconciliation in the future.,APPROVE,True
BANK-T0011,HDFC Bank,17608.2,2026-07-14,INV-T0011,84.0,15.0,AMOUNT_MISMATCH,HIGH,Payment differs from invoice by 69452.53.,"Verify invoice amount, payment amount and possible fees or adjustments.",,False
BANK-T0013,HDFC Bank,20724.5,2026-07-03,INV-T0013,60.0,0.0,AMOUNT_MISMATCH,HIGH,Payment differs from invoice by 66336.23.,"Verify invoice amount, payment amount and possible fees or adjustments.",,False
BANK-T0019,Tata,62233.46,2026-07-28,INV-T0019,73.0,18.58,AMOUNT_MISMATCH,HIGH,Payment differs from invoice by 50211.68.,"Verify invoice amount, payment amount and possible fees or adjustments.",,False
BANK-T0037,Meta,65888.43,2026-07-13,INV-T0037,75.0,12.89,AMOUNT_MISMATCH,HIGH,Payment differs from invoice by 41855.00.,"Verify invoice amount, payment amount and possible fees or adjustments.",,False
BANK-T0045,Microsoft,47914.08,2026-07-26,INV-T0045,60.0,6.5,AMOUNT_MISMATCH,HIGH,Payment differs from invoice by 20690.94.,"Verify invoice amount, payment amount and possible fees or adjustments.",,False
BANK-T0046,Tata Consultancy Services,43899.0,2026-07-03,INV-T0046,84.0,1.0,AMOUNT_MISMATCH,HIGH,Payment differs from invoice by 31877.22.,"Verify invoice amount, payment amount and possible fees or adjustments.",,False
BANK-T0048,Accenture,25890.0,2026-07-18,INV-T0055,58.5,2.25,AMOUNT_MISMATCH,HIGH,Payment differs from invoice by 47293.55.,"Verify invoice amount, payment amount and possible fees or adjustments.",,False
BANK-T0049,ICICI Bank,98693.36,2026-07-22,INV-T0049,84.0,6.329999999999998,AMOUNT_MISMATCH,HIGH,Payment differs from invoice by 74647.06.,"Verify invoice amount, payment amount and possible fees or adjustments.",,False
BANK-T0051,Accenture Pvt Ltd,75336.9,2026-07-25,INV-T0051,100.0,3.5,DATE_MISMATCH,LOW,Bank and invoice dates differ by 19 days.,Check settlement date versus invoice/document date.,,False
BANK-T0053,Oracle,8124.39,2026-07-01,INV-T0053,60.0,1.5,AMOUNT_MISMATCH,HIGH,Payment differs from invoice by 3977.90.,"Verify invoice amount, payment amount and possible fees or adjustments.",,False
BANK-T0056,Axis Bank,12054.36,2026-07-21,INV-T0056,84.0,20.35,AMOUNT_MISMATCH,HIGH,Payment differs from invoice by 42936.93.,"Verify invoice amount, payment amount and possible fees or adjustments.",,False
BANK-T0057,Adobe,86229.93,2026-07-17,INV-T0057,84.0,27.14,AMOUNT_MISMATCH,HIGH,Payment differs from invoice by 60985.64.,"Verify invoice amount, payment amount and possible fees or adjustments.",,False
BANK-T0060,HDFC Bank,92320.97,2026-07-30,INV-T0038,63.0,4.5,AMOUNT_MISMATCH,HIGH,Payment differs from invoice by 5260.24.,"Verify invoice amount, payment amount and possible fees or adjustments.",,False
BANK-T0064,Adobe,24705.78,2026-07-08,INV-T0002,80.25,21.75,AMOUNT_MISMATCH,MEDIUM,"The bank transaction amount ($24,705.78) is $538.51 lower than the candidate invoice total ($25,244.29) despite matching vendor and close dates.","Check for early payment discounts, short payments, or bank fee deductions, and confirm with Adobe billing before applying funds.",REVIEW,True
BANK-T0072,Accenture,75771.25,2026-07-23,INV-T0072,100.0,3.5,DATE_MISMATCH,LOW,Bank and invoice dates differ by 17 days.,Check settlement date versus invoice/document date.,,False
BANK-T0073,Meta Platforms,74174.47,2026-07-13,INV-T0073,84.0,24.0,AMOUNT_MISMATCH,HIGH,Payment differs from invoice by 50141.04.,"Verify invoice amount, payment amount and possible fees or adjustments.",,False
BANK-T0075,Axis Bank,52240.01,2026-07-04,INV-T0065,58.5,1.0,AMOUNT_MISMATCH,HIGH,Payment differs from invoice by 2751.28.,"Verify invoice amount, payment amount and possible fees or adjustments.",,False
BANK-T0086,Oracle,15860.91,2026-07-04,INV-T0053,80.25,20.25,AMOUNT_MISMATCH,HIGH,Payment differs from invoice by 11714.42.,"Verify invoice amount, payment amount and possible fees or adjustments.",,False
BANK-T0092,Meta,19967.42,2026-07-18,INV-T0092,75.0,28.0,PARTIAL_PAYMENT,MEDIUM,"Bank payment is 19967.42, while invoice value is 24033.43.",Check whether the remaining invoice balance is still outstanding.,,False
BANK-T0093,Deloitte,15299.9,2026-07-06,INV-T0093,84.0,24.0,AMOUNT_MISMATCH,HIGH,Payment differs from invoice by 23266.19.,"Verify invoice amount, payment amount and possible fees or adjustments.",,False
BANK-T0099,Axis Bank,42319.54,2026-07-08,INV-T0099,60.0,0.3500000000000014,PARTIAL_PAYMENT,MEDIUM,"Bank payment is 42319.54, while invoice value is 54991.29.",Check whether the remaining invoice balance is still outstanding.,,False
